Date,Predicted_Index_Var,Predicted_Corr,Predicted_Var,Future_Beta_45d_AGG,Predicted_Covariance,Future_Cov_45_AGG,Beta_Predicted
2013-02-28,5.691358046932573e-05,-0.29968077434742396,2.0370604556220175e-06,-0.0545385951449843,-3.2267758311523552e-06,-2.9870092772439104e-06,-0.05669606101994348
2013-03-01,5.5838116524781546e-05,-0.29677300063223155,2.1075598394531e-06,-0.0541503037419398,-3.219435475435316e-06,-2.9629221530961177e-06,-0.05765659151498236
2013-03-04,5.8972066735456676e-05,-0.2946296858985134,2.1277804727825963e-06,-0.0538355247380978,-3.300373462486625e-06,-2.943309931618858e-06,-0.05596502963499312
2013-03-05,6.11786007539575e-05,-0.29988722063024736,2.147843380394321e-06,-0.0509589997520317,-3.437629233283249e-06,-2.73113607526214e-06,-0.056190059774469045
2013-03-06,6.590896266954058e-05,-0.31017070275883896,2.141255762503521e-06,-0.0481235379825869,-3.68474369673888e-06,-2.596949893977048e-06,-0.05590656486605215
2013-03-07,5.3955812695860885e-05,-0.29948427889417195,2.173099543022567e-06,-0.0492818861371019,-3.2428955362712104e-06,-2.663781155559284e-06,-0.060102802167967026
2013-03-08,4.929502236785567e-05,-0.26886631153369117,2.3112871034233023e-06,-0.0453805185986237,-2.869887491178679e-06,-2.4430507825979196e-06,-0.05821860612543463
2013-03-11,5.35802625243998e-05,-0.25969275368298195,2.2155509221464144e-06,-0.0535265942509333,-2.8294571302392693e-06,-2.9737422278650447e-06,-0.05280782506339473
2013-03-12,5.6179309735355506e-05,-0.2422218860665931,2.254026754792238e-06,-0.0485599439359015,-2.725719205365844e-06,-2.701006711912008e-06,-0.04851820391183016
2013-03-13,5.980852391245655e-05,-0.24085731440173994,2.2628394491669832e-06,-0.0542419012261496,-2.802000783060263e-06,-3.062166729960969e-06,-0.04684952243866831
2013-03-14,5.972483264048624e-05,-0.2605985248716899,2.2906696426299652e-06,-0.0629044205185731,-3.048110127665795e-06,-3.6271199223177102e-06,-0.051035892323280346
2013-03-15,6.0377570368552215e-05,-0.25672347570923937,2.3180358644289135e-06,-0.0609607201341631,-3.037130658423668e-06,-3.445953559634679e-06,-0.0503023000078447
2013-03-18,6.293895641571719e-05,-0.24077867174670517,2.3628151244310024e-06,-0.0596258594650371,-2.936247460860773e-06,-3.301439479161466e-06,-0.046652306108582536
2013-03-19,6.828960197696439e-05,-0.23290464484148202,2.4021113597675106e-06,-0.0436853034863132,-2.9829914533304617e-06,-2.485028505706509e-06,-0.04368148835216072
2013-03-20,7.201894103781252e-05,-0.22373625607050748,2.4192309977891918e-06,-0.0412540657746634,-2.953237682998095e-06,-2.3361666456955265e-06,-0.04100640248858338
2013-03-21,6.386024496606538e-05,-0.22732659799725968,2.4658689786193673e-06,-0.0418223869079984,-2.85266347333595e-06,-2.2778741769079145e-06,-0.0446704123175823
2013-03-22,6.109938216174091e-05,-0.23832600672232218,2.511042918166854e-06,-0.0550744822905817,-2.952003807955427e-06,-2.9718056064816664e-06,-0.04831478983111399
2013-03-25,6.90847351937948e-05,-0.24904760941318177,2.453086986190321e-06,-0.05996237441827,-3.2421260837586744e-06,-3.278744416610869e-06,-0.04692970270008189
2013-03-26,6.986579653938218e-05,-0.2632000473996235,2.4916465428297053e-06,-0.0648754603650125,-3.472653789203539e-06,-3.4911622095388122e-06,-0.049704633185511056
2013-03-27,7.055738009628346e-05,-0.2693742156777337,2.6200673495794486e-06,-0.0479311632919838,-3.662549253678764e-06,-2.8448711542476574e-06,-0.051908804559931285
2013-03-28,6.270856611580808e-05,-0.2604273463737762,2.7250877825317397e-06,-0.0495121950371444,-3.404397549465419e-06,-2.956703748907545e-06,-0.05428919460825004
2013-04-01,6.402944972186006e-05,-0.2609654709932428,2.8248200770276767e-06,-0.0472977044521257,-3.5096865298975697e-06,-2.8344508235898133e-06,-0.054813629433696984
2013-04-02,6.542705634015262e-05,-0.2590921569596438,2.6985964783336154e-06,-0.041866691986662,-3.4427218174120277e-06,-2.704910143323894e-06,-0.052619237514117345
