Date,Code,Symbol,Close,Volume,Adjustment Factor,Adj_Close,Log_Return,SPY_Return,Beta_45d,Future_Beta_45d,Variance_45d,Variance_45d_MA,Variance_5d_MA,MA_45d,MA_5d,RV_future,RQ_daily,RV_x_RQ,HAR_Pred,Residual,target_multiplier
2010-05-12,59751,SPY,117.45,236000000.0,1.0,117.45,0.013889112160667,0.013889112160667,1.0000000000000004,1.0,0.0001450038259378,7.282254413969088e-05,0.000125601157292,0.0005730509805325,0.0010756844985517,0.0002602481413417589,3.721327910005381e-08,2.7972316360533882e-08,0.00014916536860571234,0.00011108277273604657,1.7446954596389648
2010-05-13,59751,SPY,115.99,234000000.0,1.0,115.99,-0.012508730611137,-0.012508730611137,1.0000000000000004,1.0000000000000002,0.0001484071633234,7.390110768505328e-05,0.0001356292705065,0.0001962834606252,0.0053259135776182,0.00025910020176218553,2.4482341892385186e-08,2.322102271222822e-08,0.00014525641176036893,0.0001138437900018166,1.757711522318936
2010-05-14,59751,SPY,113.89,346000000.0,1.0,113.89,-0.018270910207525,-0.018270910207525,1.0000000000000004,0.9999999999999998,0.0001555455454646,7.51335819956533e-05,0.0001461155772371,-0.000302321455872,0.0046726531278225,0.00025615248824324076,1.1143990497445387e-07,5.1925172118223345e-08,0.00014661092460108575,0.000109541563642155,1.7541937689406657
2010-05-17,59751,SPY,113.95,326000000.0,1.0,113.95,0.0005266854054336,0.0005266854054336,1.0000000000000004,1.0000000000000002,0.0001555576290577,7.636635534633534e-05,0.0001490878901149,-0.0002925420875798,-0.0038417590769585,0.00025927371030353606,7.694938204760882e-14,4.3151299941618e-11,0.000143659171486343,0.00011561453881719306,1.771057031146206
2010-05-18,59751,SPY,112.4,361000000.0,1.0,112.4,-0.0136958182321025,-0.0136958182321025,1.0000000000000002,1.0000000000000002,0.0001595352370501,7.769526788910874e-05,0.0001528098801667,-0.0006026668592756,-0.0060119322969327,0.00026770053513020474,3.5184544583294754e-08,2.992489181403595e-08,0.0001460846956571976,0.00012161583947300713,1.7915387745241134
2010-05-19,59751,SPY,111.76,395000000.0,1.0,111.76,-0.0057102225108843,-0.0057102225108843,1.0000000000000004,1.0000000000000004,0.0001583776615087,7.89736456394516e-05,0.0001554846472809,-0.0009058828291431,-0.009931799231243,0.0002689330294771728,1.0631930453769244e-09,5.164163570842406e-09,0.00014159208382477891,0.0001273409456523939,1.8274760970237334
2010-05-20,59751,SPY,107.54,530000000.0,1.0,107.54,-0.0384908435671743,-0.0384908435671743,1.0000000000000002,1.0000000000000002,0.0001884314348945,8.09050723709103e-05,0.0001634895015951,-0.0018925644271586,-0.0151282218224505,0.00023709609091227495,2.1949757011415473e-06,2.791696574677721e-07,0.00017995303696659513,5.7143053945679824e-05,1.6574988179924268
2010-05-21,59751,SPY,109.115,501000000.0,1.0,109.115,0.014539500549431,0.014539500549431,1.0000000000000002,1.0000000000000004,0.0001944113822674,8.30185165268627e-05,0.0001712626689557,-0.0015576005407565,-0.0085661396710593,0.00023272601585731012,4.46887238372836e-08,4.1097997796559396e-08,0.00018165587582180648,5.107014003550363e-05,1.5320447907198593
2010-05-24,59751,SPY,107.71,270000000.0,1.0,107.71,-0.0129599415682842,-0.0129599415682842,1.0000000000000004,1.0000000000000009,0.0001960444055369,8.515348982320792e-05,0.0001793600242515,-0.0016419801467985,-0.0112634650658029,0.00022969592210929384,2.8210590305493522e-08,3.292763510662711e-08,0.00017642184317373454,5.327407893555931e-05,1.455353146488009
2010-05-25,59751,SPY,107.818,397000000.0,1.0,107.818,0.0010021900545587,0.0010021900545587,1.0000000000000002,1.0000000000000004,0.0001950815733253,8.725705309290503e-05,0.0001864692915066,-0.0017386739768976,-0.0083238634084706,0.0002303675565694918,1.0087890383086016e-12,1.9593698758061138e-10,0.0001680946731675448,6.227288340194699e-05,1.4270564835343786
